POS,Name,First.Name,Last.Name,ORG,HT,WT,B,T,VAL,CTM,CFR,CYear,CEra,CType,ST,CID,Tier,Title,L10,VAR,VLvl,CON,BABIP,GAP,POW,EYE,K.s,BA.vL,CON.vL,GAP.vL,POW.vL,EYE.vL,K.vL,BA.vR,CON.vR,GAP.vR,POW.vR,EYE.vR,K.vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON.1,PBABIP,HRR,STU.vL,MOV.vL,CON.vL.1,PBABIP.vL,HRR.vL,STU.vR,MOV.vR,CON.vR.1,PBABIP.vR,HRR.vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G.F,VELO,Slot,PT,STM,HLD,C.ABI,C.FRM,C.ARM,IF.RNG,IF.ERR,IF.ARM,TDP,OF.RNG,OF.ERR,OF.ARM,P,C,X1B,X2B,X3B,SS,LF,CF,RF,P.Pot,C.Pot,X1B.Pot,X2B.Pot,X3B.Pot,SS.Pot,LF.Pot,CF.Pot,RF.Pot,SPE,SR,STE,RUN,G,GS,PA,AB,H,X1B.1,X2B.1,X3B.1,HR,RBI,R,BB,IBB,HP,SH,SF,CI,SO,GIDP,RC,OPS,WPA,wRC,wRAA,WAR,PI.PA,SB,CS,BatR,wSB,UBR,BsR,G.1,GS.1,W,L,HLD.1,SD,MD,IP,BF,AB.1,X1B.2,X2B.2,X3B.2,HR.1,R.1,ER,BB.1,IBB.1,K,HP.1,SH.1,SF.1,WP,BK,CI.1,DP,GF,IR,IRS,pLi,PI,GB,FB.1,SB.1,CS.1,WPA.1,WAR.1,rWAR,SIERA,POS.1,G.2,GS.2,TC,A,PO,E,DP.1,TP,RNG,ZR,EFF,SBA,RTO,IP.1,PB,CER,BIZ.R,BIZ.Rm,BIZ.L,BIZ.Lm,BIZ.E,BIZ.Em,BIZ.U,BIZ.Um,BIZ.Z,BIZ.Zm,FRM,ARM,exptime
2B,Willy Adames,Willy,Adames,Madison Mashers TBD,6' 0',205 lbs,R,R,59,Milwaukee Brewers,MIL,2021,2015+,UnH,PTCS,73942,Iron,PTCS 7 - Unsung Heroes  SS Willy Adames  MIL  2021,0,N,-1,74,86,107,102,88,62,78,66,77,110,93,56,90,76,118,100,86,65,58,69,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,92-94,OTT,Normal,1,19,NA,NA,NA,84,74,111,64,10,7,4,NA,NA,NA,90,NA,85,NA,NA,NA,132,NA,NA,90,NA,85,NA,NA,NA,72,25,49,69,16,16,68,59,15,11,3,0,1,7,14,8,0,1,0,0,0,16,2,7.6,0.709,0.15,8,0.4,0.3,3.82,0,0,0.4,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,16,73,43,29,1,15,0,4.6,0.3,0.981,0,0,141,0,0,33,31,10,7,4,3,8,2,10,1,0,0,2025-12-30 23:36:16.129973
SS,Nick Ahmed,Nick,Ahmed,Swindon Squirrels,6' 2',200 lbs,R,R,59,Arizona Diamondbacks,ARI,2019,2015+,Leg,PTCS,74835,Iron,PTCS 5 - All-Time Legend 5  SS Nick Ahmed  ARI  Peak,0,N,-1,75,72,98,75,64,79,79,83,122,82,67,87,70,74,90,73,63,78,98,100,Normal,Normal,Normal,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,94-96,3/4,Normal,1,10,NA,NA,NA,112,91,81,96,3,4,5,NA,NA,NA,NA,NA,109,NA,NA,NA,143,NA,NA,NA,NA,109,NA,NA,NA,83,55,89,86,3,3,13,12,2,2,0,0,0,1,0,0,0,0,0,1,0,4,1,0.2,0.321,-0.11,0,-1.9,-0.1,4.08,0,0,-1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,8,6,2,0,0,0,2.57,0.1,1.054,0,0,28,0,0,7,6,1,1,0,0,0,0,1,0,0,0,2025-12-30 23:36:16.129973
SS,Nick Ahmed,Nick,Ahmed,Magic Bus,6' 2',200 lbs,R,R,59,Arizona Diamondbacks,ARI,2019,2015+,Leg,PTCS,74835,Iron,PTCS 5 - All-Time Legend 5  SS Nick Ahmed  ARI  Peak,0,N,-1,75,72,98,75,64,79,79,83,122,82,67,87,70,74,90,73,63,78,98,100,Normal,Normal,Normal,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,94-96,3/4,Normal,1,10,NA,NA,NA,112,91,81,96,3,4,5,NA,NA,NA,NA,NA,109,NA,NA,NA,143,NA,NA,NA,NA,109,NA,NA,NA,83,55,89,86,25,25,96,92,25,16,6,0,3,16,5,4,0,0,0,0,0,19,2,11.3,0.737,-0.2,11,0.3,0.3,3.59,1,1,0.3,-0.3,-2.5,-2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,25,95,61,33,1,14,0,3.74,1.3,1.022,0,0,226,0,0,62,58,9,7,9,3,13,5,13,2,0,0,2025-12-30 23:36:16.129973
SS,Nick Ahmed,Nick,Ahmed,Burlington Bees,6' 2',200 lbs,R,R,59,Arizona Diamondbacks,ARI,2019,2015+,Leg,PTCS,74835,Iron,PTCS 5 - All-Time Legend 5  SS Nick Ahmed  ARI  Peak,0,N,-1,75,72,98,75,64,79,79,83,122,82,67,87,70,74,90,73,63,78,98,100,Normal,Normal,Normal,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,94-96,3/4,Normal,1,10,NA,NA,NA,112,91,81,96,3,4,5,NA,NA,NA,NA,NA,109,NA,NA,NA,143,NA,NA,NA,NA,109,NA,NA,NA,83,55,89,86,9,9,30,25,5,4,0,0,1,3,3,3,0,0,1,1,0,3,0,2.6,0.596,0.03,2,-1.5,0,3,0,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,29,19,9,1,4,0,3.41,0.5,1.054,0,0,74,0,0,22,20,6,3,2,2,0,0,1,0,0,0,2025-12-30 23:36:16.129973
SS,Nick Ahmed,Nick,Ahmed,Itchycoo Park,6' 2',200 lbs,R,R,59,Arizona Diamondbacks,ARI,2019,2015+,Leg,PTCS,74835,Iron,PTCS 5 - All-Time Legend 5  SS Nick Ahmed  ARI  Peak,0,N,-1,75,72,98,75,64,79,79,83,122,82,67,87,70,74,90,73,63,78,98,100,Normal,Normal,Normal,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,94-96,3/4,Normal,1,10,NA,NA,NA,112,91,81,96,3,4,5,NA,NA,NA,NA,NA,109,NA,NA,NA,143,NA,NA,NA,NA,109,NA,NA,NA,83,55,89,86,20,20,74,70,12,7,3,0,2,9,10,1,0,1,0,2,0,11,3,3.1,0.489,-0.04,2,-6.4,-0.5,2.66,1,1,-6.4,-0.3,-1.2,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,20,83,51,30,2,15,0,4.13,-0.9,1.03,0,0,176.2,0,0,52,44,5,3,8,2,13,2,4,2,0,0,2025-12-30 23:36:16.129973
SS,Nick Ahmed,Nick,Ahmed,Michigan Wolves,6' 2',200 lbs,R,R,59,Arizona Diamondbacks,ARI,2019,2015+,Leg,PTCS,74835,Iron,PTCS 5 - All-Time Legend 5  SS Nick Ahmed  ARI  Peak,0,N,-1,75,72,98,75,64,79,79,83,122,82,67,87,70,74,90,73,63,78,98,100,Normal,Normal,Normal,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,94-96,3/4,Normal,1,10,NA,NA,NA,112,91,81,96,3,4,5,NA,NA,NA,NA,NA,109,NA,NA,NA,143,NA,NA,NA,NA,109,NA,NA,NA,83,55,89,86,3,2,8,5,2,2,0,0,0,1,0,2,0,0,0,1,0,0,0,1.5,0.9,0.11,1,0.5,0.1,3,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,10,5,5,0,1,0,5.29,0.3,1.054,0,0,17,0,0,3,3,2,2,1,0,0,0,0,0,0,0,2025-12-30 23:36:16.129973
SS,Nick Ahmed,Nick,Ahmed,Lehigh Iron Pigs,6' 2',200 lbs,R,R,59,Arizona Diamondbacks,ARI,2019,2015+,Leg,PTCS,74835,Iron,PTCS 5 - All-Time Legend 5  SS Nick Ahmed  ARI  Peak,0,N,-1,75,72,98,75,64,79,79,83,122,82,67,87,70,74,90,73,63,78,98,100,Normal,Normal,Normal,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,94-96,3/4,Normal,1,10,NA,NA,NA,112,91,81,96,3,4,5,NA,NA,NA,NA,NA,109,NA,NA,NA,143,NA,NA,NA,NA,109,NA,NA,NA,83,55,89,86,12,12,42,38,7,4,1,0,2,3,5,0,0,1,3,0,0,5,1,2.6,0.574,-0.35,2,-3,0,3.6,0,0,-3,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,12,43,26,16,1,5,0,3.74,1,1.18,0,0,101,0,0,32,29,5,3,4,3,5,0,8,1,0,0,2025-12-30 23:36:16.129973
SS,Nick Ahmed,Nick,Ahmed,Melmond Liches,6' 2',200 lbs,R,R,59,Arizona Diamondbacks,ARI,2019,2015+,Leg,PTCS,74835,Iron,PTCS 5 - All-Time Legend 5  SS Nick Ahmed  ARI  Peak,0,N,-1,75,72,98,75,64,79,79,83,122,82,67,87,70,74,90,73,63,78,98,100,Normal,Normal,Normal,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,94-96,3/4,Normal,1,10,NA,NA,NA,112,91,81,96,3,4,5,NA,NA,NA,NA,NA,109,NA,NA,NA,143,NA,NA,NA,NA,109,NA,NA,NA,83,55,89,86,5,5,20,18,5,5,0,0,0,0,5,2,0,0,0,0,0,2,1,1.8,0.628,-0.19,2,-0.4,0.2,3.7,1,0,-0.4,0.2,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,26,18,7,1,4,0,5,0.6,0.998,0,0,45,0,0,15,14,1,0,4,3,1,1,2,1,0,0,2025-12-30 23:36:16.129973
SS,Nick Ahmed,Nick,Ahmed,Kumamoto Ozeki,6' 2',200 lbs,R,R,59,Arizona Diamondbacks,ARI,2019,2015+,Leg,PTCS,74835,Iron,PTCS 5 - All-Time Legend 5  SS Nick Ahmed  ARI  Peak,0,N,-1,75,72,98,75,64,79,79,83,122,82,67,87,70,74,90,73,63,78,98,100,Normal,Normal,Normal,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NEU,94-96,3/4,Normal,1,10,NA,NA,NA,112,91,81,96,3,4,5,NA,NA,NA,NA,NA,109,NA,NA,NA,143,NA,NA,NA,NA,109,NA,NA,NA,83,55,89,86,6,6,23,21,6,4,2,0,0,2,3,2,0,0,0,0,0,7,0,3,0.729,-0.12,2,0.2,0.1,3.91,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,37,24,10,3,7,0,5.85,0.1,0.958,0,0,52.1,0,0,23,21,1,0,2,1,0,0,2,2,0,0,2025-12-30 23:36:16.129973
SP,Red Ames,Red,Ames,Las Oakramento Nomads,5' 10',185 lbs,S,R,59,New York Giants,SFG,1911,2025,UnH,PTMS,72865,Iron,PTMS 2  SP Red Ames  NY1  1911,0,N,-1,12,5,34,4,38,19,3,19,37,5,52,28,6,12,34,4,35,16,23,30,Normal,Normal,Spray,69,90,89,62,105,68,90,88,63,104,69,91,91,61,107,70,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NEU,90-92,OTT,Normal,78,75,NA,NA,NA,34,17,22,16,7,10,7,59,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,58,77,64,46,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,17,0,2,0,7,8,3,17.1,68,65,8,5,0,0,5,5,2,0,13,0,0,1,0,0,0,0,3,6,1,1.85,253,17,22,1,0,0.8,0.9,0.7,3.48,1,17,0,3,2,1,0,0,0,1.56,-0,1.041,1,0,17.1,0,0,2,2,0,0,0,0,0,0,0,0,-0.1,0,2025-12-30 23:36:16.129973
