POS,Name,First.Name,Last.Name,ORG,HT,WT,B,T,VAL,CTM,CFR,CYear,CEra,CType,ST,CID,Tier,Title,L10,VAR,VLvl,CON,BABIP,GAP,POW,EYE,K.s,BA.vL,CON.vL,GAP.vL,POW.vL,EYE.vL,K.vL,BA.vR,CON.vR,GAP.vR,POW.vR,EYE.vR,K.vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON.1,PBABIP,HRR,STU.vL,MOV.vL,CON.vL.1,PBABIP.vL,HRR.vL,STU.vR,MOV.vR,CON.vR.1,PBABIP.vR,HRR.vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G.F,VELO,Slot,PT,STM,HLD,C.ABI,C.FRM,C.ARM,IF.RNG,IF.ERR,IF.ARM,TDP,OF.RNG,OF.ERR,OF.ARM,P,C,X1B,X2B,X3B,SS,LF,CF,RF,P.Pot,C.Pot,X1B.Pot,X2B.Pot,X3B.Pot,SS.Pot,LF.Pot,CF.Pot,RF.Pot,SPE,SR,STE,RUN,G,GS,PA,AB,H,X1B.1,X2B.1,X3B.1,HR,RBI,R,BB,IBB,HP,SH,SF,CI,SO,GIDP,RC,OPS,WPA,wRC,wRAA,WAR,PI.PA,SB,CS,BatR,wSB,UBR,BsR,G.1,GS.1,W,L,HLD.1,SD,MD,IP,BF,AB.1,X1B.2,X2B.2,X3B.2,HR.1,R.1,ER,BB.1,IBB.1,K,HP.1,SH.1,SF.1,WP,BK,CI.1,DP,GF,IR,IRS,pLi,PI,GB,FB.1,SB.1,CS.1,WPA.1,WAR.1,rWAR,SIERA,POS.1,G.2,GS.2,TC,A,PO,E,DP.1,TP,RNG,ZR,EFF,SBA,RTO,IP.1,PB,CER,BIZ.R,BIZ.Rm,BIZ.L,BIZ.Lm,BIZ.E,BIZ.Em,BIZ.U,BIZ.Um,BIZ.Z,BIZ.Zm,FRM,ARM,exptime
SP,Chase Burns,Chase,Burns,Silver Spring Gazebos,6' 3',210 lbs,R,R,49,Cincinnati Reds,CIN,2025,2025,2025Live,NA,74309,Iron,MLB 2025 Live  SP Chase Burns  CIN,0,N,-1,18,16,15,11,14,21,16,18,15,11,14,21,16,18,15,11,14,21,79,22,Normal,Normal,Normal,84,69,58,69,70,81,68,58,67,69,87,71,59,70,72,129,86,121,124,NA,NA,NA,NA,NA,NA,NA,NA,4,NEU,97-99,3/4,Normal,61,45,3,3,2,27,15,59,20,13,20,21,58,NA,43,NA,2,NA,NA,NA,NA,58,NA,43,NA,2,NA,NA,NA,NA,16,7,14,26,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,2,2,0,0,0,0,0,8.2,45,38,8,3,1,2,11,11,5,0,4,1,0,1,0,0,0,2,0,0,0,1.06,165,10,10,1,0,-0.7,-0.1,-0.4,5.97,1,2,2,0,0,0,0,0,0,0,-0.1,0,1,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,2026-01-01 17:09:44.725086
SP,Chase Burns,Chase,Burns,Toccoa Red Legs TTC,6' 3',210 lbs,R,R,49,Cincinnati Reds,CIN,2025,2025,2025Live,NA,74309,Iron,MLB 2025 Live  SP Chase Burns  CIN,0,N,-1,18,16,15,11,14,21,16,18,15,11,14,21,16,18,15,11,14,21,79,22,Normal,Normal,Normal,84,69,58,69,70,81,68,58,67,69,87,71,59,70,72,129,86,121,124,NA,NA,NA,NA,NA,NA,NA,NA,4,NEU,97-99,3/4,Normal,61,45,3,3,2,27,15,59,20,13,20,21,58,NA,43,NA,2,NA,NA,NA,NA,58,NA,43,NA,2,NA,NA,NA,NA,16,7,14,26,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,1,1,0,1,0,0,0,5.2,24,21,2,2,1,0,5,5,2,0,7,1,0,0,0,0,0,1,0,0,0,0.81,94,4,5,0,0,-0.2,0.3,-0.1,2.76,1,1,1,1,1,0,0,0,0,1.59,0,1.093,0,0,5.2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2026-01-01 17:09:44.725086
CL,Chase Burns,Chase,Burns,Spite Store,6' 3',210 lbs,R,R,49,Cincinnati Reds,CIN,2025,2025,2025Live,NA,74309,Iron,MLB 2025 Live  SP Chase Burns  CIN,0,N,-1,18,16,15,11,14,21,16,18,15,11,14,21,16,18,15,11,14,21,79,22,Normal,Normal,Normal,84,69,58,69,70,81,68,58,67,69,87,71,59,70,72,129,86,121,124,NA,NA,NA,NA,NA,NA,NA,NA,4,NEU,97-99,3/4,Normal,61,45,3,3,2,27,15,59,20,13,20,21,58,NA,43,NA,2,NA,NA,NA,NA,58,NA,43,NA,2,NA,NA,NA,NA,16,7,14,26,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,2,0,1,0,0,2,0,4,16,16,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,2,2.4,53,3,7,0,0,0.2,0.2,0.4,5,1,2,0,1,1,0,0,0,0,2.25,0,1.093,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2026-01-01 17:09:44.725086
SP,Chase Burns,Chase,Burns,Minnesota Charlatans,6' 3',210 lbs,R,R,49,Cincinnati Reds,CIN,2025,2025,2025Live,NA,74309,Iron,MLB 2025 Live  SP Chase Burns  CIN,0,N,-1,18,16,15,11,14,21,16,18,15,11,14,21,16,18,15,11,14,21,79,22,Normal,Normal,Normal,84,69,58,69,70,81,68,58,67,69,87,71,59,70,72,129,86,121,124,NA,NA,NA,NA,NA,NA,NA,NA,4,NEU,97-99,3/4,Normal,61,45,3,3,2,27,15,59,20,13,20,21,58,NA,43,NA,2,NA,NA,NA,NA,58,NA,43,NA,2,NA,NA,NA,NA,16,7,14,26,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,1,0,0,0,0,0,1,0.2,7,4,1,1,0,0,5,5,3,0,1,0,0,0,0,0,0,0,0,1,1,3.4,33,0,1,0,0,-0.9,-0.2,-0.7,9.02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-01 17:09:44.725086
RP,Paul Byrd,Paul,Byrd,Kashyyyk Wookies,6' 1',190 lbs,R,R,49,Cleveland,CLE,2007,2005-2014,UnH,BBR,73249,Iron,Baseball Reference 2  SP Paul Byrd  CLE  2007,0,Y,0,4,1,4,1,4,1,1,4,4,1,4,1,1,4,4,1,4,1,23,20,Normal,Pull,Normal,30,68,134,70,68,22,88,136,68,98,35,54,132,72,45,31,44,25,31,27,NA,NA,NA,NA,16,NA,NA,6,EX FB,86-88,3/4,Normal,72,100,NA,NA,NA,25,13,20,23,3,6,9,45,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,16,5,6,28,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,2,0,0,0,0,0,0,4.1,18,18,4,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,2,2,2,0.24,80,5,6,0,0,-0,-0,0,4.37,1,2,0,1,1,0,0,0,0,2.08,0,1.093,0,0,4.1,0,0,1,1,0,0,0,0,0,0,0,0,-0.1,0,2026-01-01 17:09:44.725086
RP,Paul Byrd,Paul,Byrd,Genericsville Generics,6' 1',190 lbs,R,R,49,Cleveland,CLE,2007,2005-2014,UnH,BBR,73249,Iron,Baseball Reference 2  SP Paul Byrd  CLE  2007,0,N,-1,3,1,3,1,3,1,1,3,3,1,3,1,1,3,3,1,3,1,23,20,Normal,Pull,Normal,29,68,132,70,67,21,87,134,67,97,34,53,130,71,44,31,44,25,31,27,NA,NA,NA,NA,16,NA,NA,6,EX FB,86-88,3/4,Normal,72,100,NA,NA,NA,25,13,20,23,3,6,9,45,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,16,5,6,28,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,5,0,0,0,0,0,1,11,51,48,12,2,1,1,7,6,1,0,4,0,0,2,1,0,0,0,4,1,0,0.29,144,10,18,0,0,-0.1,0.1,-0.1,5.1,1,5,0,1,1,0,0,0,0,0.82,0,1.093,0,0,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2026-01-01 17:09:44.725086
SP,Paul Byrd,Paul,Byrd,Maize Rage,6' 1',190 lbs,R,R,49,Cleveland,CLE,2007,2005-2014,UnH,BBR,73249,Iron,Baseball Reference 2  SP Paul Byrd  CLE  2007,0,N,-1,3,1,3,1,3,1,1,3,3,1,3,1,1,3,3,1,3,1,23,20,Normal,Pull,Normal,29,68,132,70,67,21,87,134,67,97,34,53,130,71,44,31,44,25,31,27,NA,NA,NA,NA,16,NA,NA,6,EX FB,86-88,3/4,Normal,72,100,NA,NA,NA,25,13,20,23,3,6,9,45,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,16,5,6,28,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,2,2,2,0,0,0,0,11.2,51,48,10,3,0,1,6,6,3,0,3,0,0,0,1,0,0,1,0,0,0,0.91,204,13,18,0,0,-0.1,0.2,0.2,5.93,1,2,2,1,0,1,0,0,0,0.77,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-01 17:09:44.725086
RP,Paul Byrd,Paul,Byrd,Staten Island Jrizzlies,6' 1',190 lbs,R,R,49,Cleveland,CLE,2007,2005-2014,UnH,BBR,73249,Iron,Baseball Reference 2  SP Paul Byrd  CLE  2007,0,N,-1,3,1,3,1,3,1,1,3,3,1,3,1,1,3,3,1,3,1,23,20,Normal,Pull,Normal,29,68,132,70,67,21,87,134,67,97,34,53,130,71,44,31,44,25,31,27,NA,NA,NA,NA,16,NA,NA,6,EX FB,86-88,3/4,Normal,72,100,NA,NA,NA,25,13,20,23,3,6,9,45,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,16,5,6,28,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,2,0,0,0,0,0,0,1.2,8,8,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,4,0,0.21,21,0,4,0,0,0,0.1,-0,2.77,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-01 17:09:44.725086
RP,Paul Byrd,Paul,Byrd,New York Fusion,6' 1',190 lbs,R,R,49,Cleveland,CLE,2007,2005-2014,UnH,BBR,73249,Iron,Baseball Reference 2  SP Paul Byrd  CLE  2007,0,N,-1,3,1,3,1,3,1,1,3,3,1,3,1,1,3,3,1,3,1,23,20,Normal,Pull,Normal,29,68,132,70,67,21,87,134,67,97,34,53,130,71,44,31,44,25,31,27,NA,NA,NA,NA,16,NA,NA,6,EX FB,86-88,3/4,Normal,72,100,NA,NA,NA,25,13,20,23,3,6,9,45,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,16,5,6,28,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,1,0,0,0,0,0,0,5.1,22,22,3,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0.23,67,5,11,0,0,0,0.1,0.1,6.16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2026-01-01 17:09:44.725086
SP,Paul Byrd,Paul,Byrd,Bridgetown Surfers,6' 1',190 lbs,R,R,49,Cleveland,CLE,2007,2005-2014,UnH,BBR,73249,Iron,Baseball Reference 2  SP Paul Byrd  CLE  2007,0,N,-1,3,1,3,1,3,1,1,3,3,1,3,1,1,3,3,1,3,1,23,20,Normal,Pull,Normal,29,68,132,70,67,21,87,134,67,97,34,53,130,71,44,31,44,25,31,27,NA,NA,NA,NA,16,NA,NA,6,EX FB,86-88,3/4,Normal,72,100,NA,NA,NA,25,13,20,23,3,6,9,45,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,16,5,6,28,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,1,0,0,0,0,0,0,0.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0.65,2,1,1,0,0,0,0,0,6.14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-01 17:09:44.725086
RP,Paul Byrd,Paul,Byrd,Texarkana Tornadoes - BFF,6' 1',190 lbs,R,R,49,Cleveland,CLE,2007,2005-2014,UnH,BBR,73249,Iron,Baseball Reference 2  SP Paul Byrd  CLE  2007,0,N,-1,3,1,3,1,3,1,1,3,3,1,3,1,1,3,3,1,3,1,23,20,Normal,Pull,Normal,29,68,132,70,67,21,87,134,67,97,34,53,130,71,44,31,44,25,31,27,NA,NA,NA,NA,16,NA,NA,6,EX FB,86-88,3/4,Normal,72,100,NA,NA,NA,25,13,20,23,3,6,9,45,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,16,5,6,28,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,1,0,0,0,0,0,0,4.2,21,20,5,2,0,1,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0.43,61,3,8,0,0,-0,-0.1,-0.1,5.91,1,1,0,1,0,1,0,1,0,1.93,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,2026-01-01 17:09:44.725086
